更新日期,#genre#
2026-03-06,https://cnb.cool/junchao.tang/jtv/-/git/raw/main/Pictures/Robot.mp4
📺央视频道,#genre#
CCTV1综合,http://59.174.116.93:4022/rtp/239.254.96.96:8550$IPV4•线路1
CCTV1综合,http://114.254.80.164:8888/rtp/239.3.1.129:8008$IPV4•线路2
CCTV1综合,http://123.118.52.208:8686/rtp/239.3.1.129:8008$IPV4•线路3
CCTV1综合,http://221.220.135.222:8012/rtp/239.3.1.129:8008$IPV4•线路4
CCTV1综合,http://114.226.0.210:4022/rtp/239.49.8.129:6000$IPV4•线路5
CCTV1综合,http://114.226.0.210:4022/rtp/239.49.8.19:9614$IPV4•线路6
CCTV1综合,http://114.238.59.116:4000/rtp/239.49.8.129:6000$IPV4•线路7
CCTV1综合,http://114.238.59.116:4000/rtp/239.49.8.19:9614$IPV4•线路8
CCTV1综合,http://114.226.212.154:8787/rtp/239.49.8.129:6000$IPV4•线路9
CCTV1综合,http://114.226.212.154:8787/rtp/239.49.8.19:9614$IPV4•线路10
CCTV1综合,http://220.176.218.207:9000/udp/239.252.219.200:5140$IPV4•线路11
CCTV1综合,http://42.237.152.226:4022/rtp/225.1.4.73:1102$IPV4•线路12
CCTV1综合,http://171.8.194.209:8800/rtp/239.16.20.1:10010$IPV4•线路13
CCTV1综合,http://171.8.138.185:8800/rtp/239.16.20.1:10010$IPV4•线路14
CCTV1综合,http://1.192.240.99:8188/rtp/239.16.20.1:10010$IPV4•线路15
CCTV1综合,http://60.4.29.183:8077/rtp/239.253.92.83:8012$IPV4•线路16
CCTV1综合,http://121.29.169.244:2083/rtp/239.253.92.83:8012$IPV4•线路17
CCTV1综合,http://144.255.16.170:6688/udp/239.21.1.120:5002$IPV4•线路18
CCTV1综合,http://115.171.80.124:1688/rtp/225.1.8.1:8008$IPV4•线路19
CCTV1综合,http://115.171.80.124:1688/rtp/225.1.8.33:8002$IPV4•线路20
CCTV1综合,http://115.171.80.124:1688/rtp/225.1.8.53:8060$IPV4•线路21
CCTV1综合,http://115.171.80.124:1688/rtp/225.1.8.81:8176$IPV4•线路22
CCTV1综合,http://115.171.80.124:1688/rtp/225.1.8.126:8002$IPV4•线路23
CCTV1综合,http://115.171.80.124:1688/rtp/225.1.8.194:4120$IPV4•线路24
CCTV1综合,http://115.171.80.124:1688/rtp/225.1.8.210:8068$IPV4•线路25
CCTV1综合,http://115.171.216.84:4000/rtp/225.1.8.1:8008$IPV4•线路26
CCTV1综合,http://115.171.216.84:4000/rtp/225.1.8.33:8002$IPV4•线路27
CCTV1综合,http://115.171.216.84:4000/rtp/225.1.8.53:8060$IPV4•线路28
CCTV1综合,http://115.171.216.84:4000/rtp/225.1.8.81:8176$IPV4•线路29
CCTV1综合,http://115.171.216.84:4000/rtp/225.1.8.126:8002$IPV4•线路30
CCTV1综合,http://115.171.216.84:4000/rtp/225.1.8.194:4120$IPV4•线路31
CCTV1综合,http://115.171.216.84:4000/rtp/225.1.8.210:8068$IPV4•线路32
CCTV1综合,http://116.9.34.226:4000/udp/239.81.0.102:4056$IPV4•线路33
CCTV1综合,http://106.87.50.96:8888/rtp/235.254.198.51:1480$IPV4•线路34
CCTV1综合,http://223.198.240.151:4000/rtp/239.253.64.120:5140$IPV4•线路35
CCTV1综合,http://36.49.50.173:8800/rtp/239.37.0.235:5540$IPV4•线路36
CCTV1综合,http://36.49.50.173:8800/rtp/239.37.0.224:5540$IPV4•线路37
CCTV1综合,http://36.49.50.173:8800/rtp/239.37.0.149:5540$IPV4•线路38
CCTV1综合,http://36.49.50.173:8800/rtp/239.37.0.152:5540$IPV4•线路39
CCTV1综合,http://106.59.2.73:55555/udp/239.200.201.135:8880$IPV4•线路40
CCTV1综合,http://106.59.2.73:55555/udp/239.200.200.70:8008$IPV4•线路41
CCTV1综合,http://106.59.2.73:55555/udp/239.200.200.95:8044$IPV4•线路42
CCTV1综合,http://106.59.2.73:55555/rtp/239.200.200.2:8080$IPV4•线路43
CCTV1综合,http://106.59.2.73:55555/rtp/239.200.200.14:8852$IPV4•线路44
CCTV1综合,http://106.59.2.73:55555/rtp/239.200.201.45:8800$IPV4•线路45
CCTV1综合,http://106.59.2.73:55555/rtp/239.200.200.117:8712$IPV4•线路46
CCTV1综合,http://211.158.35.157:8888/udp/225.0.4.74:7980$IPV4•线路47
CCTV1综合,http://202.107.163.17:5555/udp/238.125.5.1:5140$IPV4•线路48
CCTV1综合,http://202.107.163.17:5555/udp/238.125.5.96:5140$IPV4•线路49
CCTV1综合,http://183.184.146.232:8003/rtp/226.0.2.153:9136$IPV4•线路50
CCTV1综合,http://113.65.124.202:9527/udp/239.77.1.144:5146$IPV4•线路51
